scheme,security_model,devices,repeats,workload_note,mean_ms,stddev_ms
BMAE,128,128,20,128 authenticated messages (one per device),6154.087012,48.748970
Cui-Edge-Batch,128,8,20,8 authenticated messages (one per device),283.440627,2.336090
Cui-Edge-Batch,128,16,20,16 authenticated messages (one per device),577.891931,4.382134
Cui-Edge-Batch,128,32,20,32 authenticated messages (one per device),1152.827146,16.363569
Cui-Edge-Batch,128,64,20,64 authenticated messages (one per device),2252.301208,40.966734
Cui-Edge-Batch,128,128,20,128 authenticated messages (one per device),4613.713700,84.995906
BAT-CLAMA,128,8,20,8 authenticated requests (one per device) with explicit key confirmation,283.515863,2.083560
BAT-CLAMA,128,16,20,16 authenticated requests (one per device) with explicit key confirmation,578.335552,13.934163
BAT-CLAMA,128,32,20,32 authenticated requests (one per device) with explicit key confirmation,1132.100350,6.174542
BAT-CLAMA,128,64,20,64 authenticated requests (one per device) with explicit key confirmation,2372.845869,20.003696
BAT-CLAMA,128,128,20,128 authenticated requests (one per device) with explicit key confirmation,4690.341181,110.185979
Ma-Edge-Update,128,8,20,8 authenticated messages (one per device) including mandatory update,183.140546,0.773649
Ma-Edge-Update,128,16,20,16 authenticated messages (one per device) including mandatory update,363.471898,2.126500
Ma-Edge-Update,128,32,20,32 authenticated messages (one per device) including mandatory update,725.447814,9.025848
Ma-Edge-Update,128,64,20,64 authenticated messages (one per device) including mandatory update,1539.190923,34.246835
Ma-Edge-Update,128,128,20,128 authenticated messages (one per device) including mandatory update,2915.894731,37.014695
ECroA,128,8,20,one authentication packet per device in each round,2841.380402,30.179640
ECroA,128,16,20,one authentication packet per device in each round,5098.491652,253.882790
ECroA,128,32,20,one authentication packet per device in each round,9352.260450,228.548507
ECroA,128,64,20,one authentication packet per device in each round,18155.994450,239.913441
ECroA,128,128,20,one authentication packet per device in each round,36656.662077,782.647139
Shen-V2G,128,8,20,one authentication packet per device in each round,5332.599160,43.106169
Shen-V2G,128,16,20,one authentication packet per device in each round,10391.229590,97.230555
Shen-V2G,128,32,20,one authentication packet per device in each round,20140.551796,496.238971
Shen-V2G,128,64,20,one authentication packet per device in each round,39509.908219,920.096117
Shen-V2G,128,128,20,one authentication packet per device in each round,79830.265658,739.427760
